exposure,outcome,method,nsnp,b,se,pval,Signif
educ,LOAD,IVW,1164,-0.41118474295808993,0.049147546890266416,5.94390683007015e-17,***
educ,LOAD,Weighted median,1164,-0.4287769361370114,0.08029034611144455,9.277759270287902e-8,***
educ,LOAD,MR Egger,1164,-0.5110300723854616,0.19403868434701876,0.008559417743056089,**
educ,AAOS,IVW,1195,-0.2950762156389082,0.044993692074924686,5.447262641083871e-11,***
educ,AAOS,Weighted median,1195,-0.3868777869987598,0.07124503382939387,5.6277631858159063e-8,***
educ,AAOS,MR Egger,1195,0.1600396928934573,0.1711842809402524,0.3500305073089168, 
educ,ab42,IVW,1169,-0.0019384551919872995,0.013976130264544659,0.8896891448289207, 
educ,ab42,Weighted median,1169,0.009230358645298777,0.02140904610135063,0.6663644547163825, 
educ,ab42,MR Egger,1169,-0.10119515865588945,0.053492010439892594,0.058767587132764205,.
educ,ptau,IVW,1170,-0.00591766984720578,0.017884679685260075,0.7407356772318356, 
educ,ptau,Weighted median,1170,0.018799352709157464,0.027452450654679415,0.49347210094371907, 
educ,ptau,MR Egger,1170,0.025276704315803394,0.06568860943196568,0.7004587274504721, 
educ,tau,IVW,1169,-0.020300222348069788,0.01945908762060223,0.2968437246849279, 
educ,tau,Weighted median,1169,3.5797758069343474e-4,0.029707939254432904,0.9903858066244968, 
educ,tau,MR Egger,1169,-0.002890822605422204,0.07356066352514017,0.9686591363781358, 
educ,hipv,IVW,1168,0.05444988155929544,0.026273981994310226,0.03822928375091699,*
educ,hipv,Weighted median,1168,0.009906897912493893,0.03948037915702441,0.8018665382200332, 
educ,hipv,MR Egger,1168,-0.030489026754531967,0.09834165623530401,0.7565922836101783, 
