exposure,outcome,method,nsnp,b,se,pval,Signif
LOAD,alcc,IVW,70,-8.261345484707155e-4,0.001287414608917669,0.5210676896389316, 
LOAD,alcc,Weighted median,70,-7.487152319435444e-4,0.002219079954247945,0.7358161810291459, 
LOAD,alcc,MR Egger,70,5.945906533441695e-4,0.0020888222303792,0.7767746834876643, 
AAOS,alcc,IVW,51,-0.0031143600451909526,0.0010550235451968963,0.0031579025476783564,**
AAOS,alcc,Weighted median,51,-0.004591607096235411,0.0014845631411050154,0.001982101231001724,**
AAOS,alcc,MR Egger,51,-0.004429519696755519,0.0015884197619299815,0.007515575947984937,**
HV,alcc,IVW,25,7.58437118545469e-4,0.006822580880874903,0.9114849342737357, 
HV,alcc,Weighted median,25,0.0019773029938446288,0.01057539414144429,0.851682556860448, 
HV,alcc,MR Egger,25,0.0021002620168691115,0.015965194096227136,0.8964822135848052, 
AB42,alcc,IVW,14,0.011607011525501422,0.01854616559390386,0.5314170893552145, 
AB42,alcc,Weighted median,14,-0.0219914709851464,0.025506277411640174,0.38857836272095914, 
AB42,alcc,MR Egger,14,-0.03936616199057955,0.0420192211913362,0.36730290830362056, 
Ptau,alcc,IVW,16,0.01509571548890017,0.014144489380888359,0.2858586661948102, 
Ptau,alcc,Weighted median,16,0.022345768922240217,0.02038697885790156,0.27304357014792563, 
Ptau,alcc,MR Egger,16,0.023674329001093886,0.04475616836885464,0.605117366680002, 
Tau,alcc,IVW,11,0.004790760337492033,0.022840402069943044,0.8338632774021918, 
Tau,alcc,Weighted median,11,0.03497327326753573,0.030972197237751485,0.258820716120287, 
Tau,alcc,MR Egger,11,0.049616457340954524,0.06205123755603625,0.444530666343233, 
